PRACTICE_CODE,INDICATOR_GROUP_CODE,REGISTER,PATIENT_LIST_TYPE,PATIENT_LIST_SIZE
A81021,LD,85,TOTAL,13586
A81021,MH,109,TOTAL,13586
A81021,OB,1771,18OV,10697
A81021,OST,15,50OV,5309
A81021,PAD,120,TOTAL,13586
A81021,PC,42,TOTAL,13586
A81021,RA,88,16OV,10995
A81021,STIA,298,TOTAL,13586
A81022,AF,237,TOTAL,10420
A81022,AST,825,TOTAL,10420
A81022,CAN,301,TOTAL,10420
A81022,CHD,480,TOTAL,10420
A81022,CKD,298,18OV,8396
A81022,COPD,410,TOTAL,10420
A81022,CVDPP,68,30_74,6122
A81022,DEM,56,TOTAL,10420
A81022,DEP,769,18OV,8396
A81022,DM,619,17OV,8499
A81022,EP,92,18OV,8396
A81022,HF,87,TOTAL,10420
A81022,HYP,1761,TOTAL,10420
A81022,LD,68,TOTAL,10420
A81022,MH,91,TOTAL,10420
A81022,OB,931,18OV,8396
A81022,OST,8,50OV,4462
A81022,PAD,81,TOTAL,10420
A81022,PC,103,TOTAL,10420
A81022,RA,82,16OV,8601
A81022,STIA,230,TOTAL,10420
A81023,AF,112,TOTAL,7801
A81023,AST,435,TOTAL,7801
A81023,CAN,143,TOTAL,7801
A81023,CHD,270,TOTAL,7801
A81023,CKD,141,18OV,6098
A81023,COPD,200,TOTAL,7801
A81023,CVDPP,21,30_74,4035
A81023,DEM,37,TOTAL,7801
A81023,DEP,524,18OV,6098
A81023,DM,384,17OV,6179
A81023,EP,79,18OV,6098
A81023,HF,63,TOTAL,7801
A81023,HYP,897,TOTAL,7801
A81023,LD,66,TOTAL,7801
A81023,MH,121,TOTAL,7801
A81023,OB,735,18OV,6098
A81023,OST,9,50OV,2261
A81023,PAD,68,TOTAL,7801
A81023,PC,64,TOTAL,7801
A81023,RA,38,16OV,6248
A81023,STIA,128,TOTAL,7801
A81025,AF,101,TOTAL,4028
A81025,AST,278,TOTAL,4028
A81025,CAN,152,TOTAL,4028
A81025,CHD,217,TOTAL,4028
A81025,CKD,133,18OV,3224
A81025,COPD,105,TOTAL,4028
A81025,CVDPP,16,30_74,2235
A81025,DEM,40,TOTAL,4028
A81025,DEP,292,18OV,3224
A81025,DM,219,17OV,3256
A81025,EP,40,18OV,3224
A81025,HF,50,TOTAL,4028
A81025,HYP,584,TOTAL,4028
A81025,LD,25,TOTAL,4028
A81025,MH,36,TOTAL,4028
A81025,OB,396,18OV,3224
A81025,OST,5,50OV,1641
A81025,PAD,37,TOTAL,4028
A81025,PC,37,TOTAL,4028
A81025,RA,36,16OV,3280
A81025,STIA,100,TOTAL,4028
A81026,AF,342,TOTAL,18438
A81026,AST,1134,TOTAL,18438
A81026,CAN,304,TOTAL,18438
A81026,CHD,728,TOTAL,18438
A81026,CKD,528,18OV,14280
A81026,COPD,643,TOTAL,18438
A81026,CVDPP,93,30_74,10088
A81026,DEM,165,TOTAL,18438
A81026,DEP,1034,18OV,14280
A81026,DM,1114,17OV,14468
A81026,EP,162,18OV,14280
A81026,HF,124,TOTAL,18438
A81026,HYP,2420,TOTAL,18438
A81026,LD,137,TOTAL,18438
A81026,MH,164,TOTAL,18438
A81026,OB,1755,18OV,14280
A81026,OST,20,50OV,6571
A81026,PAD,139,TOTAL,18438
A81026,PC,107,TOTAL,18438
A81026,RA,95,16OV,14650
A81026,STIA,418,TOTAL,18438
A81027,AF,399,TOTAL,14436
A81027,AST,797,TOTAL,14436
A81027,CAN,518,TOTAL,14436
A81027,CHD,525,TOTAL,14436
A81027,CKD,493,18OV,11650
A81027,COPD,193,TOTAL,14436
A81027,CVDPP,73,30_74,8686
A81027,DEM,141,TOTAL,14436
A81027,DEP,1216,18OV,11650
A81027,DM,647,17OV,11811
A81027,EP,76,18OV,11650
