PRACTICE_CODE,INDICATOR_GROUP_CODE,REGISTER,PATIENT_LIST_TYPE,PATIENT_LIST_SIZE
A81027,EP,71,18OV,12050
A81027,HF,165,TOTAL,14960
A81027,HYP,2218,TOTAL,14960
A81027,LD,19,TOTAL,14960
A81027,MH,96,TOTAL,14960
A81027,OB,1298,18OV,12050
A81027,OST,20,50OV,6547
A81027,PAD,82,TOTAL,14960
A81027,PC,117,TOTAL,14960
A81027,RA,90,16OV,12371
A81027,STIA,357,TOTAL,14960
A81029,AF,91,TOTAL,6447
A81029,AST,277,TOTAL,6447
A81029,CAN,147,TOTAL,6447
A81029,CHD,221,TOTAL,6447
A81029,CKD,189,18OV,5200
A81029,COPD,214,TOTAL,6447
A81029,CVDPP,36,30_74,3331
A81029,DEM,39,TOTAL,6447
A81029,DEP,574,18OV,5200
A81029,DM,316,17OV,5258
A81029,EP,60,18OV,5200
A81029,HF,39,TOTAL,6447
A81029,HYP,804,TOTAL,6447
A81029,LD,49,TOTAL,6447
A81029,MH,83,TOTAL,6447
A81029,OB,519,18OV,5200
A81029,OST,7,50OV,1789
A81029,PAD,66,TOTAL,6447
A81029,PC,21,TOTAL,6447
A81029,RA,25,16OV,5315
A81029,STIA,111,TOTAL,6447
A81030,AF,287,TOTAL,14016
A81030,AST,964,TOTAL,14016
A81030,CAN,246,TOTAL,14016
A81030,CHD,475,TOTAL,14016
A81030,CKD,300,18OV,10881
A81030,COPD,293,TOTAL,14016
A81030,CVDPP,92,30_74,7551
A81030,DEM,139,TOTAL,14016
A81030,DEP,1134,18OV,10881
A81030,DM,735,17OV,11019
A81030,EP,115,18OV,10881
A81030,HF,144,TOTAL,14016
A81030,HYP,1890,TOTAL,14016
A81030,LD,54,TOTAL,14016
A81030,MH,123,TOTAL,14016
A81030,OB,1112,18OV,10881
A81030,OST,126,50OV,5326
A81030,PAD,140,TOTAL,14016
A81030,PC,112,TOTAL,14016
A81030,RA,115,16OV,11171
A81030,STIA,271,TOTAL,14016
A81031,AF,263,TOTAL,12805
A81031,AST,951,TOTAL,12805
A81031,CAN,412,TOTAL,12805
A81031,CHD,558,TOTAL,12805
A81031,CKD,459,18OV,10113
A81031,COPD,425,TOTAL,12805
A81031,CVDPP,100,30_74,7119
A81031,DEM,128,TOTAL,12805
A81031,DEP,819,18OV,10113
A81031,DM,691,17OV,10254
A81031,EP,135,18OV,10113
A81031,HF,123,TOTAL,12805
A81031,HYP,2134,TOTAL,12805
A81031,LD,100,TOTAL,12805
A81031,MH,126,TOTAL,12805
A81031,OB,1684,18OV,10113
A81031,OST,4,50OV,4981
A81031,PAD,110,TOTAL,12805
A81031,PC,58,TOTAL,12805
A81031,RA,109,16OV,10402
A81031,STIA,271,TOTAL,12805
A81032,AF,272,TOTAL,10884
A81032,AST,749,TOTAL,10884
A81032,CAN,359,TOTAL,10884
A81032,CHD,446,TOTAL,10884
A81032,CKD,203,18OV,8940
A81032,COPD,278,TOTAL,10884
A81032,CVDPP,102,30_74,6272
A81032,DEM,142,TOTAL,10884
A81032,DEP,1104,18OV,8940
A81032,DM,654,17OV,9060
A81032,EP,87,18OV,8940
A81032,HF,109,TOTAL,10884
A81032,HYP,1634,TOTAL,10884
A81032,LD,44,TOTAL,10884
A81032,MH,114,TOTAL,10884
A81032,OB,790,18OV,8940
A81032,OST,16,50OV,5089
A81032,PAD,90,TOTAL,10884
A81032,PC,103,TOTAL,10884
A81032,RA,58,16OV,9174
A81032,STIA,280,TOTAL,10884
A81034,AF,413,TOTAL,22066
A81034,AST,1524,TOTAL,22066
A81034,CAN,562,TOTAL,22066
A81034,CHD,705,TOTAL,22066
A81034,CKD,711,18OV,16627
A81034,COPD,511,TOTAL,22066
A81034,CVDPP,159,30_74,12368
A81034,DEM,206,TOTAL,22066
A81034,DEP,3376,18OV,16627
A81034,DM,1140,17OV,16882
A81034,EP,158,18OV,16627
A81034,HF,257,TOTAL,22066
A81034,HYP,3087,TOTAL,22066
A81034,LD,111,TOTAL,22066
A81034,MH,142,TOTAL,22066
A81034,OB,1968,18OV,16627
A81034,OST,34,50OV,7308
A81034,PAD,150,TOTAL,22066
A81034,PC,135,TOTAL,22066
A81034,RA,89,16OV,17138
A81034,STIA,461,TOTAL,22066
A81035,AF,205,TOTAL,10299
A81035,AST,651,TOTAL,10299
A81035,CAN,295,TOTAL,10299
A81035,CHD,398,TOTAL,10299
A81035,CKD,332,18OV,7973
A81035,COPD,321,TOTAL,10299
A81035,CVDPP,49,30_74,5617
A81035,DEM,67,TOTAL,10299
A81035,DEP,650,18OV,7973
A81035,DM,629,17OV,8079
A81035,EP,92,18OV,7973
A81035,HF,129,TOTAL,10299
A81035,HYP,1436,TOTAL,10299
A81035,LD,106,TOTAL,10299
A81035,MH,127,TOTAL,10299
A81035,OB,1097,18OV,7973
A81035,OST,16,50OV,3560
A81035,PAD,116,TOTAL,10299
A81035,PC,48,TOTAL,10299
A81035,RA,58,16OV,8197
A81035,STIA,213,TOTAL,10299
A81036,AF,485,TOTAL,17620
A81036,AST,1304,TOTAL,17620
A81036,CAN,620,TOTAL,17620
A81036,CHD,759,TOTAL,17620
A81036,CKD,803,18OV,13804
A81036,COPD,519,TOTAL,17620
A81036,CVDPP,119,30_74,9998
A81036,DEM,227,TOTAL,17620
A81036,DEP,2560,18OV,13804
A81036,DM,976,17OV,13977
A81036,EP,170,18OV,13804
A81036,HF,301,TOTAL,17620
A81036,HYP,3164,TOTAL,17620
A81036,LD,88,TOTAL,17620
A81036,MH,184,TOTAL,17620
A81036,OB,2180,18OV,13804
A81036,OST,40,50OV,6921
A81036,PAD,130,TOTAL,17620
A81036,PC,251,TOTAL,17620
A81036,RA,126,16OV,14153
A81036,STIA,463,TOTAL,17620
A81037,AF,86,TOTAL,6851
A81037,AST,363,TOTAL,6851
A81037,CAN,175,TOTAL,6851
A81037,CHD,214,TOTAL,6851
A81037,CKD,113,18OV,5364
A81037,COPD,233,TOTAL,6851
A81037,CVDPP,63,30_74,3484
A81037,DEM,48,TOTAL,6851
A81037,DEP,458,18OV,5364
A81037,DM,463,17OV,5445
A81037,EP,59,18OV,5364
A81037,HF,74,TOTAL,6851
A81037,HYP,985,TOTAL,6851
A81037,LD,65,TOTAL,6851
A81037,MH,66,TOTAL,6851
A81037,OB,549,18OV,5364
A81037,OST,10,50OV,2149
A81037,PAD,58,TOTAL,6851
A81037,PC,87,TOTAL,6851
A81037,RA,41,16OV,5522
A81037,STIA,114,TOTAL,6851
A81038,AF,43,TOTAL,3700
A81038,AST,186,TOTAL,3700
A81038,CAN,59,TOTAL,3700
A81038,CHD,128,TOTAL,3700
A81038,CKD,69,18OV,2692
A81038,COPD,125,TOTAL,3700
A81038,CVDPP,64,30_74,1906
A81038,DEM,25,TOTAL,3700
A81038,DEP,85,18OV,2692
A81038,DM,268,17OV,2742
A81038,EP,33,18OV,2692
A81038,HF,26,TOTAL,3700
A81038,HYP,450,TOTAL,3700
A81038,LD,33,TOTAL,3700
A81038,MH,31,TOTAL,3700
A81038,OB,408,18OV,2692
A81038,OST,6,50OV,1054
A81038,PAD,15,TOTAL,3700
A81038,PC,5,TOTAL,3700
A81038,RA,13,16OV,2788
A81038,STIA,60,TOTAL,3700
A81039,AF,217,TOTAL,10567
A81039,AST,815,TOTAL,10567
A81039,CAN,304,TOTAL,10567
A81039,CHD,315,TOTAL,10567
A81039,CKD,257,18OV,8208
A81039,COPD,108,TOTAL,10567
A81039,CVDPP,59,30_74,6151
A81039,DEM,80,TOTAL,10567
A81039,DEP,1073,18OV,8208
A81039,DM,481,17OV,8345
A81039,EP,73,18OV,8208
A81039,HF,105,TOTAL,10567
A81039,HYP,1339,TOTAL,10567
A81039,LD,37,TOTAL,10567
A81039,MH,66,TOTAL,10567
A81039,OB,818,18OV,8208
A81039,OST,21,50OV,4062
A81039,PAD,51,TOTAL,10567
A81039,PC,46,TOTAL,10567
A81039,RA,70,16OV,8460
A81039,STIA,195,TOTAL,10567
A81040,AF,186,TOTAL,8518
A81040,AST,617,TOTAL,8518
A81040,CAN,302,TOTAL,8518
A81040,CHD,355,TOTAL,8518
A81040,CKD,368,18OV,6753
A81040,COPD,223,TOTAL,8518
A81040,CVDPP,54,30_74,5003
A81040,DEM,72,TOTAL,8518
A81040,DEP,1235,18OV,6753
A81040,DM,499,17OV,6854
A81040,EP,59,18OV,6753
A81040,HF,109,TOTAL,8518
A81040,HYP,1334,TOTAL,8518
A81040,LD,45,TOTAL,8518
A81040,MH,71,TOTAL,8518
A81040,OB,990,18OV,6753
A81040,OST,14,50OV,3476
A81040,PAD,61,TOTAL,8518
A81040,PC,58,TOTAL,8518
A81040,RA,67,16OV,6934
A81040,STIA,152,TOTAL,8518
A81041,AF,248,TOTAL,9262
A81041,AST,443,TOTAL,9262
A81041,CAN,338,TOTAL,9262
A81041,CHD,473,TOTAL,9262
A81041,CKD,390,18OV,7554
A81041,COPD,367,TOTAL,9262
A81041,CVDPP,73,30_74,5398
A81041,DEM,105,TOTAL,9262
A81041,DEP,836,18OV,7554
A81041,DM,577,17OV,7629
A81041,EP,82,18OV,7554
A81041,HF,105,TOTAL,9262
A81041,HYP,1792,TOTAL,9262
A81041,LD,63,TOTAL,9262
A81041,MH,90,TOTAL,9262
A81041,OB,1293,18OV,7554
A81041,OST,8,50OV,4067
A81041,PAD,44,TOTAL,9262
A81041,PC,57,TOTAL,9262
A81041,RA,66,16OV,7720
A81041,STIA,192,TOTAL,9262
A81042,AF,264,TOTAL,14126
A81042,AST,923,TOTAL,14126
A81042,CAN,389,TOTAL,14126
A81042,CHD,572,TOTAL,14126
A81042,CKD,453,18OV,10927
A81042,COPD,572,TOTAL,14126
A81042,CVDPP,82,30_74,7783
A81042,DEM,112,TOTAL,14126
A81042,DEP,1794,18OV,10927
A81042,DM,1012,17OV,11088
A81042,EP,132,18OV,10927
A81042,HF,135,TOTAL,14126
A81042,HYP,2211,TOTAL,14126
A81042,LD,93,TOTAL,14126
A81042,MH,135,TOTAL,14126
A81042,OB,1188,18OV,10927
A81042,OST,26,50OV,5341
A81042,PAD,145,TOTAL,14126
A81042,PC,132,TOTAL,14126
A81042,RA,93,16OV,11263
A81042,STIA,281,TOTAL,14126
A81043,AF,197,TOTAL,8559
A81043,AST,608,TOTAL,8559
A81043,CAN,373,TOTAL,8559
A81043,CHD,424,TOTAL,8559
A81043,CKD,174,18OV,6836
A81043,COPD,304,TOTAL,8559
A81043,CVDPP,79,30_74,4710
A81043,DEM,78,TOTAL,8559
A81043,DEP,1260,18OV,6836
A81043,DM,511,17OV,6937
A81043,EP,102,18OV,6836
A81043,HF,201,TOTAL,8559
A81043,HYP,1395,TOTAL,8559
A81043,LD,73,TOTAL,8559
A81043,MH,84,TOTAL,8559
A81043,OB,729,18OV,6836
A81043,OST,20,50OV,3613
A81043,PAD,103,TOTAL,8559
A81043,PC,13,TOTAL,8559
A81043,RA,57,16OV,7031
A81043,STIA,232,TOTAL,8559
A81044,AF,431,TOTAL,18795
A81044,AST,1227,TOTAL,18795
A81044,CAN,532,TOTAL,18795
A81044,CHD,774,TOTAL,18795
A81044,CKD,919,18OV,15108
A81044,COPD,685,TOTAL,18795
A81044,CVDPP,136,30_74,10935
A81044,DEM,162,TOTAL,18795
A81044,DEP,1563,18OV,15108
A81044,DM,1077,17OV,15326
A81044,EP,161,18OV,15108
