PRACTICE_CODE,INDICATOR_GROUP_CODE,REGISTER,PATIENT_LIST_TYPE,PATIENT_LIST_SIZE
A81022,DEM,59,TOTAL,10563
A81022,DEP,717,18OV,8450
A81022,DM,594,17OV,8571
A81022,EP,88,18OV,8450
A81022,HF,77,TOTAL,10563
A81022,HYP,1751,TOTAL,10563
A81022,LD,62,TOTAL,10563
A81022,MH,90,TOTAL,10563
A81022,OB,985,18OV,8450
A81022,OST,11,50OV,4437
A81022,PAD,70,TOTAL,10563
A81022,PC,109,TOTAL,10563
A81022,RA,72,16OV,8681
A81022,STIA,231,TOTAL,10563
A81023,AF,114,TOTAL,7750
A81023,AST,420,TOTAL,7750
A81023,CAN,131,TOTAL,7750
A81023,CHD,256,TOTAL,7750
A81023,CKD,148,18OV,6095
A81023,COPD,187,TOTAL,7750
A81023,CVDPP,13,30_74,3946
A81023,DEM,35,TOTAL,7750
A81023,DEP,302,18OV,6095
A81023,DM,380,17OV,6174
A81023,EP,76,18OV,6095
A81023,HF,63,TOTAL,7750
A81023,HYP,931,TOTAL,7750
A81023,LD,60,TOTAL,7750
A81023,MH,118,TOTAL,7750
A81023,OB,834,18OV,6095
A81023,OST,10,50OV,2221
A81023,PAD,77,TOTAL,7750
A81023,PC,66,TOTAL,7750
A81023,RA,33,16OV,6257
A81023,STIA,127,TOTAL,7750
A81025,AF,97,TOTAL,4081
A81025,AST,271,TOTAL,4081
A81025,CAN,138,TOTAL,4081
A81025,CHD,214,TOTAL,4081
A81025,CKD,146,18OV,3270
A81025,COPD,105,TOTAL,4081
A81025,CVDPP,35,30_74,2280
A81025,DEM,45,TOTAL,4081
A81025,DEP,271,18OV,3270
A81025,DM,201,17OV,3313
A81025,EP,39,18OV,3270
A81025,HF,47,TOTAL,4081
A81025,HYP,595,TOTAL,4081
A81025,LD,20,TOTAL,4081
A81025,MH,39,TOTAL,4081
A81025,OB,403,18OV,3270
A81025,OST,5,50OV,1637
A81025,PAD,38,TOTAL,4081
A81025,PC,40,TOTAL,4081
A81025,RA,34,16OV,3344
A81025,STIA,94,TOTAL,4081
A81026,AF,277,TOTAL,13979
A81026,AST,839,TOTAL,13979
A81026,CAN,220,TOTAL,13979
A81026,CHD,588,TOTAL,13979
A81026,CKD,488,18OV,10963
A81026,COPD,439,TOTAL,13979
A81026,CVDPP,86,30_74,7681
A81026,DEM,142,TOTAL,13979
A81026,DEP,794,18OV,10963
A81026,DM,825,17OV,11113
A81026,EP,126,18OV,10963
A81026,HF,112,TOTAL,13979
A81026,HYP,1815,TOTAL,13979
A81026,LD,87,TOTAL,13979
A81026,MH,115,TOTAL,13979
A81026,OB,1201,18OV,10963
A81026,OST,12,50OV,5206
A81026,PAD,115,TOTAL,13979
A81026,PC,81,TOTAL,13979
A81026,RA,78,16OV,11241
A81026,STIA,326,TOTAL,13979
A81027,AF,368,TOTAL,13827
A81027,AST,792,TOTAL,13827
A81027,CAN,460,TOTAL,13827
A81027,CHD,528,TOTAL,13827
A81027,CKD,506,18OV,11233
A81027,COPD,188,TOTAL,13827
